Gene,Importance
217054_at,0.0028035852426709696
212022_s_at,0.002757686913755675
200755_s_at,0.0027349529756071933
222608_s_at,0.0027329634963271154
218360_at,0.0027236456653349102
218726_at,0.0026936159820799927
240988_x_at,0.0026880822280990536
222329_x_at,0.0026765608450762903
1560144_at,0.0026535694326113805
205604_at,0.002646024845827241
239523_at,0.0026390425250764965
236038_at,0.0026285864615825487
204920_at,0.0026026463506973485
230959_at,0.0025922685596960365
223361_at,0.00257933386553168
212464_s_at,0.0025744251307859866
1556181_at,0.0025320148725051666
201920_at,0.0025308005529739394
1569664_at,0.002519765206704476
206093_x_at,0.002519694976916711
206453_s_at,0.0025192422895267863
209714_s_at,0.0025098216914837272
222521_x_at,0.0024840134166726965
236010_at,0.002462068539769568
203996_s_at,0.0024317911782508147
227006_at,0.0024265487235383266
244612_at,0.0024238896233502918
218355_at,0.0023946336713533195
201091_s_at,0.0023897861081989325
209773_s_at,0.002386378595101817
211762_s_at,0.002382126699544571
220232_at,0.002381681961361163
218039_at,0.0023600153437542026
214078_at,0.002358317925126677
218542_at,0.002354628300007568
211565_at,0.002304022728621858
1555928_at,0.002290851002439855
202666_s_at,0.002278514675855932
219064_at,0.0022570707043150736
208905_at,0.002233742659675386
218755_at,0.002228671708001372
203755_at,0.0022060009985916435
221677_s_at,0.0021984546458781234
200738_s_at,0.0021908922604485757
1555707_at,0.00215971768953687
205292_s_at,0.002153932719780079
230790_x_at,0.00215316800720414
222752_s_at,0.002088181157138866
213451_x_at,0.002078164073451943
1562755_at,0.0020767985269557476
1556206_at,0.002074631720009964
211349_at,0.002052508383563586
225986_x_at,0.002029561360869125
202487_s_at,0.001989835408769399
231766_s_at,0.001949621029560475
235093_at,0.0019462420459637397
225195_at,0.0019241672913021435
234339_s_at,0.0019141707430448778
217807_s_at,0.0019000196602048003
1555926_a_at,0.0018928667808227246
1558048_x_at,0.0018908782731059575
204460_s_at,0.0018545394366852816
1560081_at,0.0018467402604249153
227819_at,0.0018449738188327928
212271_at,0.001834696065492687
208952_s_at,0.001827643847662667
244730_x_at,0.0017985302641670572
224429_x_at,0.0017978128050801874
216331_at,0.0017940747124719062
236131_at,0.00174686735395397
202583_s_at,0.0017433038770311297
200638_s_at,0.0017414991780545892
1555758_a_at,0.0017395095965165696
233997_at,0.0017366465856243761
1563182_at,0.0017347981846742406
202095_s_at,0.0017199763090444402
1555948_s_at,0.001675539958360559
243689_s_at,0.0016357825877548996
237040_at,0.0016107525736677442
209218_at,0.0016094186495227943
204318_s_at,0.0016086838993712423
1552619_a_at,0.0015959314059177732
222155_s_at,0.001593509165305509
208153_s_at,0.00158361674693237
208867_s_at,0.0015670435427426288
212134_at,0.0015668884332845241
213715_s_at,0.0015600805251343697
204033_at,0.0015560101473106886
219140_s_at,0.001551460229885137
1554553_s_at,0.0015475702645126432
201663_s_at,0.0015455260196180324
218866_s_at,0.0015406599839689716
239963_at,0.001538985622544797
200698_at,0.0015280642271512323
236856_x_at,0.0015194099856886863
228890_at,0.0015102609803419882
207828_s_at,0.0015037292097940102
219398_at,0.0014953132636862055
200021_at,0.001486187665941787
208689_s_at,0.0014635182468903133
220725_x_at,0.0014593507009915967
241199_x_at,0.0014578876913424995
209186_at,0.0014518316728951441
200065_s_at,0.0014398401570462648
217695_x_at,0.0014357059296076786
209057_x_at,0.001424476993977124
224159_x_at,0.0014198033948235997
230867_at,0.0014048309354490907
201585_s_at,0.0014021274381231911
201812_s_at,0.0013922126467028383
210771_at,0.0013813746713582419
221795_at,0.001367447301282327
222442_s_at,0.0013631558793408742
209025_s_at,0.001358940603745856
215438_x_at,0.0013502678777475793
236874_at,0.0013426942644847875
206742_at,0.0013391765006582261
236656_s_at,0.0013179589982986971
209238_at,0.0013128392156991063
1562144_at,0.001307511256398465
220452_x_at,0.001299928227350954
